/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
`torch_dtype` is deprecated! Use `dtype` instead!
Qwen/Qwen2.5-0.5B-Instruct, 3000 random tokens, 24 attention layers, Q (1, 14, 3000, 64), K (1, 14, 3000, 64)
| layer | max abs Q | max abs K | max abs out | flash max err | scratch max err | flash mean err | scratch mean err |
|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 79.7 | 130.2 | 0.29 | 7.87e-05 | 7.82e-05 | 2.07e-06 | 2.06e-06 |
| 1 | 15.1 | 149.2 | 3.09 | 1.29e-03 | 1.29e-03 | 1.71e-05 | 1.70e-05 |
| 2 | 11.0 | 62.8 | 2.25 | 8.89e-04 | 8.89e-04 | 2.10e-05 | 2.09e-05 |
| 3 | 19.3 | 24.5 | 2.74 | 1.33e-03 | 1.33e-03 | 2.03e-05 | 2.12e-05 |
| 4 | 22.4 | 19.8 | 2.34 | 8.03e-04 | 8.03e-04 | 2.61e-05 | 2.68e-05 |
| 5 | 20.4 | 14.2 | 2.75 | 1.11e-03 | 1.01e-03 | 2.45e-05 | 2.55e-05 |
| 6 | 17.7 | 9.7 | 2.07 | 1.00e-03 | 1.06e-03 | 2.76e-05 | 2.83e-05 |
| 7 | 28.1 | 12.9 | 2.41 | 9.80e-04 | 9.73e-04 | 1.99e-05 | 2.20e-05 |
| 8 | 29.2 | 219.2 | 3.50 | 1.04e-03 | 1.03e-03 | 3.55e-05 | 3.70e-05 |
| 9 | 36.1 | 19.0 | 4.87 | 2.04e-03 | 2.21e-03 | 2.97e-05 | 3.05e-05 |
| 10 | 23.2 | 13.1 | 3.62 | 1.16e-03 | 1.28e-03 | 3.42e-05 | 3.47e-05 |
| 11 | 37.9 | 18.3 | 5.17 | 2.08e-03 | 2.07e-03 | 2.87e-05 | 2.93e-05 |
| 12 | 25.4 | 12.4 | 3.68 | 1.12e-03 | 1.12e-03 | 4.48e-05 | 4.54e-05 |
| 13 | 21.3 | 10.1 | 3.33 | 1.13e-03 | 1.13e-03 | 4.97e-05 | 5.02e-05 |
| 14 | 21.3 | 13.8 | 2.81 | 1.01e-03 | 9.45e-04 | 3.69e-05 | 3.75e-05 |
| 15 | 24.8 | 12.2 | 3.13 | 9.91e-04 | 9.98e-04 | 3.94e-05 | 4.02e-05 |
| 16 | 22.8 | 13.7 | 4.40 | 1.20e-03 | 1.18e-03 | 3.82e-05 | 3.94e-05 |
| 17 | 19.2 | 11.5 | 4.30 | 2.22e-03 | 2.14e-03 | 4.23e-05 | 4.27e-05 |
| 18 | 25.8 | 14.7 | 3.63 | 1.29e-03 | 1.29e-03 | 1.92e-05 | 1.97e-05 |
| 19 | 23.0 | 12.6 | 3.58 | 1.39e-03 | 1.35e-03 | 5.29e-05 | 5.29e-05 |
| 20 | 15.0 | 14.3 | 6.78 | 2.36e-03 | 2.60e-03 | 3.91e-05 | 4.03e-05 |
| 21 | 15.5 | 11.2 | 9.81 | 4.32e-03 | 4.28e-03 | 7.31e-05 | 7.43e-05 |
| 22 | 9.7 | 10.8 | 5.02 | 1.92e-03 | 1.92e-03 | 5.96e-05 | 5.96e-05 |
| 23 | 19.7 | 13.6 | 10.84 | 3.82e-03 | 3.82e-03 | 1.07e-04 | 1.07e-04 |
flash: worst layer 21 with max err 4.316e-03; mean over layers of the mean err 3.704e-05
scratch: worst layer 21 with max err 4.283e-03; mean over layers of the mean err 3.769e-05
