/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
`torch_dtype` is deprecated! Use `dtype` instead!
TinyLlama/TinyLlama-1.1B-Chat-v1.0, 3000 random tokens, 22 attention layers, Q (1, 32, 3000, 64), K (1, 32, 3000, 64)
| layer | max abs Q | max abs K | max abs out | flash max err | scratch max err | flash mean err | scratch mean err |
|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 7.3 | 12.2 | 0.12 | 3.22e-05 | 3.22e-05 | 3.80e-07 | 3.79e-07 |
| 1 | 8.0 | 10.5 | 0.24 | 7.55e-05 | 7.41e-05 | 1.17e-06 | 1.17e-06 |
| 2 | 6.4 | 10.0 | 0.29 | 7.33e-05 | 7.91e-05 | 1.63e-06 | 1.62e-06 |
| 3 | 7.0 | 12.7 | 0.30 | 1.27e-04 | 1.38e-04 | 1.97e-06 | 2.03e-06 |
| 4 | 9.3 | 17.5 | 0.58 | 2.39e-04 | 2.61e-04 | 2.12e-06 | 2.17e-06 |
| 5 | 8.7 | 16.4 | 0.62 | 1.93e-04 | 1.93e-04 | 2.74e-06 | 2.84e-06 |
| 6 | 10.2 | 17.8 | 0.85 | 3.13e-04 | 3.10e-04 | 4.99e-06 | 5.21e-06 |
| 7 | 10.6 | 16.0 | 0.48 | 1.50e-04 | 1.52e-04 | 5.40e-06 | 5.52e-06 |
| 8 | 11.6 | 22.4 | 1.05 | 4.91e-04 | 5.65e-04 | 5.35e-06 | 5.59e-06 |
| 9 | 8.5 | 18.6 | 0.80 | 2.96e-04 | 2.87e-04 | 5.01e-06 | 5.21e-06 |
| 10 | 13.8 | 16.0 | 0.62 | 2.82e-04 | 2.92e-04 | 5.34e-06 | 5.55e-06 |
| 11 | 11.4 | 20.1 | 0.76 | 2.87e-04 | 2.87e-04 | 8.26e-06 | 8.41e-06 |
| 12 | 9.1 | 20.2 | 0.76 | 2.63e-04 | 2.98e-04 | 6.40e-06 | 6.58e-06 |
| 13 | 9.8 | 17.7 | 0.86 | 2.97e-04 | 3.03e-04 | 7.63e-06 | 7.90e-06 |
| 14 | 14.0 | 17.3 | 1.34 | 4.90e-04 | 4.86e-04 | 8.86e-06 | 9.15e-06 |
| 15 | 11.6 | 18.8 | 1.32 | 5.17e-04 | 4.99e-04 | 9.61e-06 | 1.00e-05 |
| 16 | 11.0 | 18.4 | 1.03 | 4.81e-04 | 4.81e-04 | 1.08e-05 | 1.10e-05 |
| 17 | 13.8 | 18.2 | 1.26 | 4.83e-04 | 4.83e-04 | 8.79e-06 | 9.09e-06 |
| 18 | 12.9 | 21.3 | 2.31 | 9.34e-04 | 9.34e-04 | 1.61e-05 | 1.63e-05 |
| 19 | 14.6 | 19.2 | 1.75 | 6.24e-04 | 6.24e-04 | 1.34e-05 | 1.37e-05 |
| 20 | 15.6 | 18.1 | 1.38 | 5.76e-04 | 5.84e-04 | 1.79e-05 | 1.81e-05 |
| 21 | 16.0 | 22.3 | 3.44 | 1.04e-03 | 9.43e-04 | 2.34e-05 | 2.38e-05 |
flash: worst layer 21 with max err 1.038e-03; mean over layers of the mean err 7.603e-06
scratch: worst layer 21 with max err 9.432e-04; mean over layers of the mean err 7.791e-06
