/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Values: median over runs. Ratios: median of the per-run ratios against FLASH_ATTN, the per-run ratios in brackets. Rows with fewer runs than the others are incomplete.
126 accepted cases, measured with 1 distinct set(s) of source files.

### latency (TinyLlama/TinyLlama-1.1B-Chat-v1.0, eager)

| input | C | config | runs | TTFT p50 ms | TTFT p99 ms | TPOT p50 ms | E2E p50 ms | out tok/s | TTFT ratio | TPOT ratio | tok/s ratio |
|---:|---:|---|---:|---:|---:|---:|---:|---:|---|---|---|
| 128 | 1 | FLASH_ATTN | 3 | 29.0 | 83.1 | 10.85 | 1405 | 89.3 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 128 | 1 | SCRATCH_DECODE | 3 | 30.0 | 149.9 | 10.52 | 1368 | 92.2 | 1.034 [1.034 / 1.495 / 0.702] | 0.993 [0.913 / 0.993 / 0.998] | 1.033 [1.103 / 1.033 / 1.010] |
| 128 | 1 | SCRATCH_FULL | 3 | 22.5 | 137.1 | 10.67 | 1385 | 90.2 | 0.774 [0.774 / 1.448 / 0.675] | 0.947 [0.933 / 0.947 / 1.035] | 1.046 [1.053 / 1.046 / 0.985] |
| 512 | 1 | FLASH_ATTN | 3 | 34.6 | 135.9 | 11.27 | 1481 | 85.2 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 1 | SCRATCH_DECODE | 3 | 34.4 | 135.8 | 10.71 | 1400 | 90.5 | 0.993 [0.993 / 0.978 / 0.999] | 0.966 [0.901 / 0.966 / 0.972] | 1.064 [1.097 / 1.064 / 1.044] |
| 512 | 1 | SCRATCH_FULL | 3 | 33.0 | 117.9 | 10.94 | 1429 | 88.8 | 0.956 [0.974 / 0.952 / 0.956] | 0.944 [0.931 / 0.991 / 0.944] | 1.064 [1.064 / 1.039 / 1.069] |
| 1024 | 1 | FLASH_ATTN | 3 | 62.1 | 176.6 | 11.28 | 1495 | 83.7 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 1024 | 1 | SCRATCH_DECODE | 3 | 61.8 | 136.6 | 10.37 | 1378 | 90.9 | 0.996 [1.008 / 0.995 / 0.996] | 0.935 [0.954 / 0.935 / 0.902] | 1.078 [1.035 / 1.078 / 1.101] |
| 1024 | 1 | SCRATCH_FULL | 3 | 60.4 | 140.5 | 10.69 | 1419 | 90.1 | 0.973 [0.977 / 0.973 / 0.973] | 0.956 [0.944 / 0.969 / 0.956] | 1.051 [1.084 / 1.051 / 1.049] |
| 1920 | 1 | FLASH_ATTN | 3 | 115.7 | 192.7 | 11.88 | 1628 | 78.8 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 1920 | 1 | SCRATCH_DECODE | 3 | 115.8 | 201.5 | 10.46 | 1443 | 87.2 | 1.001 [0.997 / 1.001 / 1.004] | 0.915 [0.915 / 0.991 / 0.831] | 1.066 [1.066 / 1.022 / 1.159] |
| 1920 | 1 | SCRATCH_FULL | 3 | 112.4 | 196.9 | 10.65 | 1466 | 84.9 | 0.972 [0.965 / 0.972 / 0.978] | 0.934 [0.896 / 1.007 / 0.934] | 1.054 [1.089 / 1.018 / 1.054] |

### throughput (TinyLlama/TinyLlama-1.1B-Chat-v1.0, eager)

| input | C | config | runs | TTFT p50 ms | TTFT p99 ms | TPOT p50 ms | E2E p50 ms | out tok/s | TTFT ratio | TPOT ratio | tok/s ratio |
|---:|---:|---|---:|---:|---:|---:|---:|---:|---|---|---|
| 512 | 2 | FLASH_ATTN | 3 | 63.3 | 334.6 | 12.09 | 1610 | 156.7 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 2 | SCRATCH_DECODE | 3 | 60.4 | 313.2 | 11.28 | 1506 | 169.1 | 0.958 [0.958 / 0.810 / 0.959] | 0.933 [0.995 / 0.933 / 0.898] | 1.071 [1.053 / 1.071 / 1.096] |
| 512 | 2 | SCRATCH_FULL | 3 | 58.1 | 334.8 | 11.18 | 1476 | 170.7 | 0.923 [0.923 / 0.903 / 0.925] | 0.911 [0.894 / 0.925 / 0.911] | 1.094 [1.134 / 1.094 / 1.089] |
| 512 | 4 | FLASH_ATTN | 3 | 116.8 | 413.5 | 13.09 | 1769 | 287.8 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 4 | SCRATCH_DECODE | 3 | 112.8 | 361.0 | 10.81 | 1461 | 332.9 | 0.958 [0.954 / 0.997 / 0.958] | 0.841 [0.841 / 0.863 / 0.786] | 1.157 [1.157 / 1.112 / 1.260] |
| 512 | 4 | SCRATCH_FULL | 3 | 114.8 | 362.5 | 11.01 | 1505 | 327.4 | 0.983 [0.986 / 0.967 / 0.983] | 0.857 [0.857 / 0.781 / 0.870] | 1.138 [1.138 / 1.200 / 1.134] |
| 512 | 8 | FLASH_ATTN | 3 | 125.9 | 471.8 | 13.46 | 1837 | 528.5 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 8 | SCRATCH_DECODE | 3 | 174.9 | 485.6 | 11.87 | 1728 | 598.4 | 1.390 [1.253 / 1.390 / 1.524] | 0.899 [0.924 / 0.899 / 0.882] | 1.132 [1.033 / 1.140 / 1.132] |
| 512 | 8 | SCRATCH_FULL | 3 | 184.7 | 484.0 | 11.75 | 1681 | 612.1 | 1.443 [1.342 / 1.467 / 1.443] | 0.903 [0.903 / 0.844 / 0.925] | 1.086 [1.082 / 1.208 / 1.086] |
| 512 | 16 | FLASH_ATTN | 3 | 202.0 | 780.8 | 14.66 | 2118 | 952.8 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 16 | SCRATCH_DECODE | 3 | 279.3 | 783.4 | 13.20 | 1926 | 1026.2 | 0.984 [0.899 / 0.984 / 1.557] | 0.888 [0.977 / 0.888 / 0.820] | 1.098 [1.041 / 1.098 / 1.171] |
| 512 | 16 | SCRATCH_FULL | 3 | 242.7 | 656.0 | 12.51 | 1775 | 1102.0 | 1.201 [1.201 / 0.863 / 1.298] | 0.853 [0.905 / 0.796 / 0.853] | 1.157 [1.106 / 1.220 / 1.157] |
| 512 | 32 | FLASH_ATTN | 3 | 327.7 | 1133.2 | 17.43 | 2554 | 1599.3 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 32 | SCRATCH_DECODE | 3 | 330.3 | 1154.1 | 15.89 | 2326 | 1717.3 | 1.008 [1.008 / 0.882 / 1.074] | 0.891 [0.916 / 0.891 / 0.877] | 1.082 [1.067 / 1.122 / 1.082] |
| 512 | 32 | SCRATCH_FULL | 3 | 307.5 | 1171.5 | 15.54 | 2258 | 1779.2 | 0.939 [0.915 / 0.939 / 1.000] | 0.893 [0.893 / 0.851 / 0.917] | 1.116 [1.116 / 1.162 / 1.080] |

### long_context (Qwen/Qwen2.5-0.5B-Instruct, eager)

| input | C | config | runs | TTFT p50 ms | TTFT p99 ms | TPOT p50 ms | E2E p50 ms | out tok/s | TTFT ratio | TPOT ratio | tok/s ratio |
|---:|---:|---|---:|---:|---:|---:|---:|---:|---|---|---|
| 2048 | 1 | FLASH_ATTN | 3 | 63.1 | 178.8 | 14.41 | 1894 | 67.7 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 2048 | 1 | SCRATCH_DECODE | 3 | 62.6 | 169.4 | 13.12 | 1734 | 73.4 | 0.998 [0.998 / 1.004 / 0.984] | 0.904 [0.911 / 0.883 / 0.904] | 1.098 [1.085 / 1.098 / 1.118] |
| 2048 | 1 | SCRATCH_FULL | 3 | 60.8 | 192.8 | 13.16 | 1734 | 75.3 | 0.955 [1.015 / 0.953 / 0.955] | 0.918 [1.031 / 0.918 / 0.860] | 1.116 [0.998 / 1.116 / 1.150] |
